Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
123_GH_VP57	1	1	1	18	1	20	276	-1	-3
123_GH_VP57	2	-4	2	22	2	10	377	4	2
123_GH_VP57	3	-4	3	27	2	15	376	2	-3
123_GH_VP57	1	2	4	11	1	6	275	-1	0
123_GH_VP57	3	-3	5	25	2	25	377	4	2
123_GH_VP57	1	-2	6	16	1	10	277	1	-1
123_GH_VP57	3	3	7	24	2	20	376	4	-2
123_GH_VP57	-1	-3	8	13	1	15	277	1	-1
123_GH_VP57	4	-1	9	29	2	6	370	1	2
123_GH_VP57	0	-4	10	16	1	10	277	1	2
123_GH_VP57	4	4	11	21	2	6	376	3	-2
123_GH_VP57	-1	-2	12	17	1	15	275	-2	3
123_GH_VP57	3	1	13	26	2	10	370	1	3
123_GH_VP57	0	-3	14	14	1	20	275	-2	-1
123_GH_VP57	3	-2	15	23	2	15	370	1	-1
123_GH_VP57	-1	1	16	19	1	6	277	1	4
123_GH_VP57	2	2	17	28	2	20	377	4	4
123_GH_VP57	0	-3	18	12	1	10	276	-1	-2
123_GH_VP57	3	2	1	22	2	10	377	4	-2
123_GH_VP57	1	1	2	11	1	6	275	-2	2
123_GH_VP57	0	-1	3	15	1	25	276	0	1
123_GH_VP57	-1	-1	4	18	1	20	276	-1	-2
123_GH_VP57	2	2	5	21	2	6	376	3	3
123_GH_VP57	3	-4	6	29	2	6	370	-1	-4
123_GH_VP57	4	-4	7	24	2	20	376	3	4
123_GH_VP57	0	-1	8	13	1	15	277	2	-3
123_GH_VP57	4	3	9	27	2	15	376	3	4
123_GH_VP57	0	-2	10	19	1	6	277	1	-4
123_GH_VP57	0	2	11	12	1	10	276	-1	-1
123_GH_VP57	2	3	12	26	2	10	370	0	2
123_GH_VP57	3	4	13	28	2	20	377	4	-2
123_GH_VP57	1	2	14	17	1	15	275	-2	2
123_GH_VP57	2	3	15	21	2	6	376	3	0
123_GH_VP57	0	-1	16	11	1	6	275	-3	3
123_GH_VP57	2	3	17	23	2	15	370	1	-1
123_GH_VP57	-1	1	18	14	1	20	275	-2	-4
123_GH_VP57	-1	1	1	14	1	20	275	-1	-4
123_GH_VP57	0	-2	2	11	1	6	275	0	2
123_GH_VP57	2	2	3	29	2	6	370	-1	0
123_GH_VP57	-1	-2	4	18	1	20	276	1	-4
123_GH_VP57	2	-1	5	25	2	25	377	4	2
123_GH_VP57	1	-4	6	16	1	10	277	1	4
123_GH_VP57	1	2	7	24	2	20	376	3	-3
123_GH_VP57	-1	-1	8	13	1	15	277	0	1
123_GH_VP57	2	4	9	27	2	15	376	2	-3
123_GH_VP57	0	4	10	19	1	6	277	2	-3
123_GH_VP57	0	-2	11	12	1	10	276	-1	2
123_GH_VP57	1	-2	12	26	2	10	370	-1	2
123_GH_VP57	0	-4	13	28	2	20	377	2	2
123_GH_VP57	0	0	14	17	1	15	275	-1	-3
123_GH_VP57	1	-2	15	21	2	6	376	1	-2
123_GH_VP57	0	-4	16	15	1	25	276	0	0
123_GH_VP57	0	2	17	23	2	15	370	0	1
123_GH_VP57	2	1	18	22	2	10	377	4	3
