Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
123_GH_VP77	0	4	1	18	1	20	276	-4	2
123_GH_VP77	0	-3	2	22	2	10	377	0	3
123_GH_VP77	3	-1	3	27	2	15	376	-2	-2
123_GH_VP77	-2	-4	4	11	1	6	275	-2	3
123_GH_VP77	3	-4	5	25	2	25	377	0	1
123_GH_VP77	-3	4	6	16	1	10	277	-3	-3
123_GH_VP77	3	2	7	24	2	20	376	-1	-4
123_GH_VP77	-3	-3	8	13	1	15	277	-4	3
123_GH_VP77	0	1	9	29	2	6	370	4	2
123_GH_VP77	-2	0	10	16	1	10	277	-4	-1
123_GH_VP77	0	-3	11	21	2	6	376	-1	-1
123_GH_VP77	-2	2	12	17	1	15	275	-4	-3
123_GH_VP77	0	4	13	26	2	10	370	4	4
123_GH_VP77	-3	3	14	14	1	20	275	-4	-1
123_GH_VP77	0	3	15	23	2	15	370	3	4
123_GH_VP77	-2	0	16	19	1	6	277	-3	-4
123_GH_VP77	0	-3	17	28	2	20	377	2	2
123_GH_VP77	-2	-3	18	12	1	10	276	-4	-2
123_GH_VP77	2	0	1	22	2	10	377	0	4
123_GH_VP77	-2	-2	2	11	1	6	275	-3	3
123_GH_VP77	-2	-1	3	15	1	25	276	-4	-2
123_GH_VP77	-3	-4	4	18	1	20	276	-3	2
123_GH_VP77	2	3	5	21	2	6	376	1	2
123_GH_VP77	3	-4	6	29	2	6	370	4	-2
123_GH_VP77	2	-3	7	24	2	20	376	1	-1
123_GH_VP77	-2	4	8	13	1	15	277	-3	3
123_GH_VP77	2	-1	9	27	2	15	376	0	3
123_GH_VP77	-2	4	10	19	1	6	277	-2	-2
123_GH_VP77	-2	2	11	12	1	10	276	-4	3
123_GH_VP77	2	0	12	26	2	10	370	4	-4
123_GH_VP77	2	4	13	28	2	20	377	1	1
123_GH_VP77	-2	-1	14	17	1	15	275	-4	0
123_GH_VP77	3	-3	15	21	2	6	376	0	2
123_GH_VP77	-2	-2	16	11	1	6	275	-4	-2
123_GH_VP77	2	3	17	23	2	15	370	4	1
123_GH_VP77	-2	1	18	14	1	20	275	-3	4
123_GH_VP77	-1	-4	1	14	1	20	275	-4	3
123_GH_VP77	-3	0	2	11	1	6	275	-4	1
123_GH_VP77	3	-4	3	29	2	6	370	4	1
123_GH_VP77	-3	3	4	18	1	20	276	-4	3
123_GH_VP77	2	0	5	25	2	25	377	3	3
123_GH_VP77	-2	-3	6	16	1	10	277	-3	4
123_GH_VP77	2	4	7	24	2	20	376	2	-4
123_GH_VP77	-2	1	8	13	1	15	277	-4	2
123_GH_VP77	2	3	9	27	2	15	376	2	0
123_GH_VP77	-2	-1	10	19	1	6	277	-3	-1
123_GH_VP77	-3	0	11	12	1	10	276	-4	3
123_GH_VP77	3	3	12	26	2	10	370	4	1
123_GH_VP77	2	2	13	28	2	20	377	0	-2
123_GH_VP77	-2	-4	14	17	1	15	275	-3	0
123_GH_VP77	0	-2	15	21	2	6	376	0	3
123_GH_VP77	-2	-1	16	15	1	25	276	-4	4
123_GH_VP77	3	2	17	23	2	15	370	4	0
123_GH_VP77	3	4	18	22	2	10	377	0	2
