Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
123_GH_VP28	-1	-3	1	18	1	20	276	-1	3
123_GH_VP28	2	4	2	22	2	10	377	2	-2
123_GH_VP28	1	-3	3	27	2	15	376	2	3
123_GH_VP28	-1	-1	4	11	1	6	275	-2	3
123_GH_VP28	1	4	5	25	2	25	377	2	3
123_GH_VP28	-1	0	6	16	1	10	277	-1	-4
123_GH_VP28	1	1	7	24	2	20	376	2	-3
123_GH_VP28	-1	-2	8	13	1	15	277	-1	0
123_GH_VP28	1	-1	9	29	2	6	370	0	-3
123_GH_VP28	-1	-1	10	16	1	10	277	-2	-3
123_GH_VP28	1	4	11	21	2	6	376	2	-4
123_GH_VP28	-1	-1	12	17	1	15	275	-2	-2
123_GH_VP28	1	-4	13	26	2	10	370	0	-4
123_GH_VP28	-1	2	14	14	1	20	275	-2	1
123_GH_VP28	1	3	15	23	2	15	370	0	-2
123_GH_VP28	-1	2	16	19	1	6	277	-1	-2
123_GH_VP28	1	0	17	28	2	20	377	2	-2
123_GH_VP28	-1	-2	18	12	1	10	276	-2	1
123_GH_VP28	1	0	1	22	2	10	377	2	1
123_GH_VP28	-1	3	2	11	1	6	275	-3	-4
123_GH_VP28	-1	-3	3	15	1	25	276	-1	-1
123_GH_VP28	-1	1	4	18	1	20	276	-1	-2
123_GH_VP28	1	-4	5	21	2	6	376	2	1
123_GH_VP28	1	-4	6	29	2	6	370	1	-1
123_GH_VP28	1	3	7	24	2	20	376	2	-2
123_GH_VP28	-1	-2	8	13	1	15	277	-2	0
123_GH_VP28	1	-4	9	27	2	15	376	2	1
123_GH_VP28	-1	-1	10	19	1	6	277	-2	3
123_GH_VP28	-1	2	11	12	1	10	276	3	3
123_GH_VP28	1	-4	12	26	2	10	370	0	-3
123_GH_VP28	1	-2	13	28	2	20	377	3	4
123_GH_VP28	-1	-4	14	17	1	15	275	-2	4
123_GH_VP28	1	0	15	21	2	6	376	2	-2
123_GH_VP28	-1	3	16	11	1	6	275	-3	-3
123_GH_VP28	1	-4	17	23	2	15	370	1	2
123_GH_VP28	-1	0	18	14	1	20	275	-3	2
123_GH_VP28	-1	-1	1	14	1	20	275	-2	-1
123_GH_VP28	-1	-1	2	11	1	6	275	-2	2
123_GH_VP28	1	2	3	29	2	6	370	0	-4
123_GH_VP28	-1	2	4	18	1	20	276	-1	3
123_GH_VP28	1	-2	5	25	2	25	377	2	3
123_GH_VP28	-1	0	6	16	1	10	277	-1	2
123_GH_VP28	1	-2	7	24	2	20	376	2	3
123_GH_VP28	-1	-4	8	13	1	15	277	-1	1
123_GH_VP28	1	0	9	27	2	15	376	2	-2
123_GH_VP28	-1	0	10	19	1	6	277	-1	-2
123_GH_VP28	-1	3	11	12	1	10	276	-1	3
123_GH_VP28	2	-1	12	26	2	10	370	0	4
123_GH_VP28	1	-1	13	28	2	20	377	2	-1
123_GH_VP28	1	1	14	17	1	15	275	-3	-2
123_GH_VP28	3	3	15	21	2	6	376	2	-3
123_GH_VP28	-1	0	16	15	1	25	276	-1	4
123_GH_VP28	1	-4	17	23	2	15	370	0	-3
123_GH_VP28	1	3	18	22	2	10	377	2	1
