Subject	Rating1	Rating1_StartPosition	Trial	Trial_No	Condition	Anticipation	IADS	Rating2	Rating2_StartPosition1
123_GH_VP79	-1	3	1	18	1	20	276	-4	1
123_GH_VP79	0	-4	2	22	2	10	377	4	-4
123_GH_VP79	1	-4	3	27	2	15	376	-1	2
123_GH_VP79	-1	-3	4	11	1	6	275	-4	-4
123_GH_VP79	0	4	5	25	2	25	377	4	-4
123_GH_VP79	-1	-3	6	16	1	10	277	-3	-3
123_GH_VP79	0	3	7	24	2	20	376	-1	4
123_GH_VP79	-1	-4	8	13	1	15	277	-3	0
123_GH_VP79	0	-1	9	29	2	6	370	1	-4
123_GH_VP79	-2	0	10	16	1	10	277	-4	-1
123_GH_VP79	0	-1	11	21	2	6	376	-1	-4
123_GH_VP79	-1	1	12	17	1	15	275	-4	1
123_GH_VP79	0	2	13	26	2	10	370	1	-2
123_GH_VP79	-1	1	14	14	1	20	275	-4	0
123_GH_VP79	0	-3	15	23	2	15	370	1	3
123_GH_VP79	-1	-1	16	19	1	6	277	-3	-3
123_GH_VP79	0	-3	17	28	2	20	377	4	0
123_GH_VP79	-1	-4	18	12	1	10	276	-4	0
123_GH_VP79	0	-4	1	22	2	10	377	4	2
123_GH_VP79	-1	0	2	11	1	6	275	-4	-3
123_GH_VP79	-2	-1	3	15	1	25	276	-4	-1
123_GH_VP79	-1	-4	4	18	1	20	276	-4	1
123_GH_VP79	0	2	5	21	2	6	376	0	2
123_GH_VP79	0	-4	6	29	2	6	370	1	3
123_GH_VP79	0	1	7	24	2	20	376	-1	-3
123_GH_VP79	-1	1	8	13	1	15	277	-4	2
123_GH_VP79	0	3	9	27	2	15	376	-1	2
123_GH_VP79	-1	4	10	19	1	6	277	-4	-3
123_GH_VP79	-1	1	11	12	1	10	276	-4	-2
123_GH_VP79	0	-1	12	26	2	10	370	0	1
123_GH_VP79	0	0	13	28	2	20	377	2	4
123_GH_VP79	-2	0	14	17	1	15	275	-4	4
123_GH_VP79	0	2	15	21	2	6	376	-1	3
123_GH_VP79	-2	-1	16	11	1	6	275	-4	0
123_GH_VP79	0	-4	17	23	2	15	370	0	-4
123_GH_VP79	-2	4	18	14	1	20	275	-4	-1
123_GH_VP79	-2	-2	1	14	1	20	275	-3	-1
123_GH_VP79	-2	-2	2	11	1	6	275	-4	3
123_GH_VP79	0	2	3	29	2	6	370	1	2
123_GH_VP79	-1	-2	4	18	1	20	276	-3	4
123_GH_VP79	0	4	5	25	2	25	377	3	-1
123_GH_VP79	-1	-1	6	16	1	10	277	-4	-3
123_GH_VP79	0	-3	7	24	2	20	376	-1	-3
123_GH_VP79	-2	0	8	13	1	15	277	-4	-1
123_GH_VP79	-1	3	9	27	2	15	376	-2	2
123_GH_VP79	-2	-2	10	19	1	6	277	-4	-3
123_GH_VP79	-2	-1	11	12	1	10	276	-4	-4
123_GH_VP79	0	0	12	26	2	10	370	0	4
123_GH_VP79	-1	-4	13	28	2	20	377	2	2
123_GH_VP79	-2	0	14	17	1	15	275	-4	-2
123_GH_VP79	0	-4	15	21	2	6	376	-1	-1
123_GH_VP79	-1	-1	16	15	1	25	276	-4	-2
123_GH_VP79	0	1	17	23	2	15	370	0	4
123_GH_VP79	0	1	18	22	2	10	377	2	4
